review_score,full_text
1.0,comprei banquetas site loja achei excelente todo procedimento desde compra entrega to etapas informadas chegou bem rapido gostei
1.0,gostei super recomendo chegou antes prazo amei
1.0,gostei agora bom vou dizer acordo uso parece boa qualidade
1.0,boa super recomendado entrega foi super rapido
1.0,bom recomendo superou expectativas produto chegou bem antes data prevista ainda foi melhor
0.5,biblia thompson dois tons italiano letra maior extra jigante
1.0,tudo certo recomendo lojas americanas otimo atendimento
1.0,fiquei satisfeito bom oproduto eficiente bem bonito hora
1.0,excelente produto vou comprar un xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1.0,recebi produto dentro prazo encomendo duvida
1.0,otimo gostei bastante produto recomendo ceicao soares
1.0,otimo produto deixa bem escuro jeito esperava melhor entrega rapida
1.0,recomendavel excelente produto podem confiar entrega rapida nenhum problema
0.5,so furadeira brek dek entrou lixar
1.0,comprei adorei excelente produto amei super indico
0.0,escrevi mas avaliador quer facamos dissertacao tempo entao avaliarei nada
1.0,letra bastao otimo iniciar criancas mundo letras profissional educacao inicialmente prefiro livros letra bastao filha achou livro lindo nota
1.0,bom ja segundo compro mirage agora quero s rsrsrsr
1.0,produto qualidade toalhas bonitas macias melhor enxuga bem comprei kit experimentar comprei kits
0.0,segundos queima chegou liguei tomada apertei botao segundos rodando livre queimou
0.0,vez compro americanas mas gostei demora entrega nao recebi ainda tv site ruim porque rastreamento mantermos atualizado entrega aguardando dias consumidora irei comprar mas nada site americanas
0.5,pontos contras principal som monitor possui caixa som interno restando apenas uso headset screen split admite sistema tela cheia vc usar tela cheia corta split tendo deixar tudo modo janela redimensionado sendo bom media players mas ja aplicativo filme tv windows muda nada restante frame rate exemplo bom
0.5,a edicao a edicao capa mesma a edicao caderno atividades presente matematica o ano
0.5,copos ml posso acreditar deve erro digitacao produto otimos super recomendos mas ese valor nao creio outro lugar deva mas barato ter alguma explicacao
0.5,perfume pouco fraco fixa outro bem melhor agradavel doline frasco branco entrega foi rapida
0.0,avaliacoes engracado solicitei devolucao pois veio cor rosa sendo opcao escolher cor ato compra sendo ignorada lojas americanas pior sempre indico loja decepcionada
0.5,comprei meusmartfone tudo ok entrga rapida meses deu ploblema entrada corregador nao consigo assistecia tecnica nao funciona pessima
1.0,estrelas produto satisfez necessidade gostei produto
1.0,estrelas satisfez necessidade produto bom gostei
0.5,pecas gostaria saber pecas pois queria finalizar nao quero finalizar duvida obg
0.0,dias compra ainda recebi produto vou avaliar sendo recebi produto faz dias comprei agora unica informacao desde dia transporte
0.0,l propaganda litros informativos verdade litros espaco interno propaganda enganosa
0.0,dias receber produto posso avaliar produto hoje dia fazem dias comprei porem hoje recebi entrei pedido cancelamento pois tv era presente dia maes
0.0,receber produto verificar sendo forro colcha pequenos rasgos todo sujo parecendo pano velho
0.5,relogio lindo unica coisa achei estranha ano precede hora algarismos grande ano luz forte
0.5,estrelas bom produto gostei so manga grande vou levar costura fechar pouco tamanho
0.5,estrelas ponto vista efeito melhor utilizacao desta maquina necessita aumento comprimento cabos positivo negativo minimo igual fonte inversora s
1.0,produto bom varias utilidades preco igual
0.0,dias produto ainda noa foi entregue enquanto americanas continuarem usando correios estara dificil dias nada produto chegar
0.0,dias pra entregar recomendo pro inimigo demorou demais entregar entao cancelei comprei loja fisica parece q vindo china parou curitiba
1.0,k top sensacional pra curti joga ps imagem torna perfeita duvidas boa escolha k samsung recomendo escolha todos
0.0,hoje apareceu listra tela queria destravar senha
1.0,bom adorei recomendo maravilhoso comprei respondendo expectativas
0.0,gostei vem son voz consigo tirar pior manual escrito outra linguagem entendo pedi orientao faz tirar sim ninguem responde
1.0,estrelas bom produto ta dentro esperava produto recomento foi entregue dentro prazo recomendo loja
1.0,produto bom rendimento excelente
1.0,bom produto entrega rapida acompanhamento produtos boa att
0.5,gostei mas achava era reforcadas espera pouco melhor produto
1.0,bom gostei indico pois boa qualidades som
0.0,relogio gerar chip dz nao chegou nao residencia outro relogio tambem nao foi entregue relogio touch
0.5,cabelo liso mas volume algo gritante usei primeira lavagem bem escorrido brilhoso lavei todo encanto foi cabelo continuou mesma coisa praticamente exceto macil porem visualmente muita diferenca reduziu porcento volume
1.0,impressora hp eficiente pratica ocupa pouco espaca tanta variedade funcoes
1.0,sansumg dispensa comentarios produto bom recomendo
1.0,bom gostei entrega praso to gostando produto
1.0,recomendo amigos inclusive fiz varios comentarios sobre produto gostei
0.0,poderia entregar rapido ne demora demais era bom entregasse produtos maximo dias quase mes pra entregar
1.0,produto bom entrega rapida ainda avaliacao acho supera esperava
0.5,produto excelente mas retirada mas cobram frete entrega residencia
0.5,produto otimo porem entrega foi pessima ir buscar trasportadora
0.0,veio quebrado botao lateral colar vamos ver vai ficar bom
0.0,falta nota fiscal caixa tava violada ja compra nota nao acompanha
0.5,foi todo bom entrega foi antes tempo previsto moto boa bonita mas pequena baixinha
1.0,s melhor custo beneficio excelente recomendo parabens mirage compromisso respeito clientes
1.0,entrega acordo data estimulada correto produto bem embalado
1.0,bom brinquedo criancas vou encomendar alguns porque funcionam coro
0.5,pelicula veio diferente parte inferior mas boa
0.0,ouro copos olha preco caro
0.0,ainda n recebi americana n da resposta posicao
0.5,pq possui cor vermelha tche lindo cor vermelha possui
0.0,nunca tao esperancoso receber produto porem ainda encontra maos portanto prefiro avalia lo apos chegada att amador
0.5,camera estraga produto perfeito flores bendita camera foco automatico braco ficara nitido rosto naquela selfie marota clicar rosto ter foco ajustado pessoa gosta selfie ria adorava vendi pra asus agora curte foto celular melhor custo beneficio mercado completo tela incrivel promocao americanas entao irresistivel espero ter ajudado
0.0,encomenda nunca chegou produto loja bela porcaria
0.5,eletrolux precisa inovar eletrolux inovou porta painel micro ondas mas continua barulhento precisa desenvolver produtos silenciosos geladeiro maquina lavar roupas possuo
1.0,melhor melhores usou boa peca carne sabe deixa desejar nada contar sujeira deixa fazer saudavel sinal serve todos tipos carne peixe frango linguica nugts batatinhas carinhas asso nela
0.0,prancha alisa prancha chapa cabelo lamina empenada prensa cabelo alisar veio defeito devolver
0.0,tampa veio toda quebrada ate presente momento nenhuma lojas tomaram devidas providencias fogao veio tapa cheia cacos vidros totalmente quebrada produto encontra garagem casa aguardando retirada troca motorista largou qualquer jeito disse pressa iria esperar abrir produto conferencia deixou fogao embora assim tudo resolvido darei avaliacao novamente
0.5,tv muitos recursos tv muitos recursos mas imagem mim deixou desejar detalhista chato fiquei tv mas certeza boa tv recomendaria mas coisa pessoal
0.5,tv boa mas controle veio problema tv otima marido joga xbox adorou imagem porem controle problemas mas vezes funciona vezes funciona sozinho fica abrindo menus tv vamos procurar assistencia aqui cidade comprar novo trabalho demora inviabilizam pedir troca
0.5,altura peso crianca influencia modo usar produto fiquei pouco decepcionada produto cadeirinha bonita confortavel mostrado foto enquadra crianca categorias acordo peso filha anos alta possui quilos possui coxas grossas cinto cadeirinha nao prende afrouxando cinto consegui inclui la categoria cadeirinha fica solta carro serve assento crianca presa cinto seguranca carro filha alta ficou certinho baixa estatura daria certo fiquei incomodada adequacao pois nao descrita ato venda inclinacao prometida nao entra nessa categoria crianca fica sentada ereta cabecinha nao tanto apoio manual descrito forma complexa poderia simples entrega foi prazo estipulado antes
0.0,alca tampa quebra noa trocam menos seis meses alca tampa quebra noa trocam alegando mau uso noa recomendo
0.5,base veio soltando bom produto grampeia bem mas base preta plastico solta levantado merece corrigido neste aspecto
0.0,bateria produto funciona produto vem duas baterias porem carregam utilizar pilhas testar produto contar demora entrega produto
0.0,bateria dura tempo pouco dificil usar algumas funcoes bateria dura pouco celular novo
0.0,borracha segunda x usar firno borracha estourou usar forno tentando entrar contato consigo ja deixei mail pra vcs agora retornaram
0.5,cadeira boa mas queria comprei cadeira pensando kit cadeiras coloridas acho entendi bem descricao produto agora quero devolve la pegar kit cadeiras empresa entregou cadeira ainda entrou contato comigo pra fazer devolucao produto grata
0.5,caneta auxilia digitacao regiao auto falante aquece ponto incomodar conversas breves lg precisa resolver problema
0.5,capa boa pelicula pra celular capinha ficou boa pelicula veio menor q tela ficou pequena
0.0,capinha medida j anunciado propaganda ficou menor gostei gostei produto mesma medida j
0.0,cervejeira veio defeito regulagem temperatura funciona tecnico autorizado veio ver vai pedir peca
0.0,chave canivete oca colocar bateria entendi colocar bateria ascender nada oca gostei
0.5,cor vendem branco mas verdade pra cinza distoou parede branca deu trabalhao colocar trilhos profissional era qualificado mas bonita
0.0,cor enviada procede foto verdade avaliacao empresa pq claro notorio descricao cadeira caramelo marron ai enviaram cadeira cor chumbo cinza sei descriminar cor vou reclamar demora entrega pq dizem dias comprei entregaram dia respondem mail comprador insatisfeita
0.0,cor errada pedido foi oximetro rosa gostei porque pedi cor veio outra
0.5,cor mesma descricao aparelho jantar bonito porem comprei branco tom cru
0.0,descricao condiz produto comprei produto pois acordo descricao alcance era metros entretanto produto foi entregue alcance maximo metros quero devolver produto receber dinheiro volta mas agora consegui atendida
0.0,desejar material razoavel instrucoes montagem claras contem pecas adaptar tv samsung conjunto ruim talvez funcione outros tamanhos marcas
0.0,empresa entrega fiz compra valor maior mesma demorou meses cancela pois empresa da respaldo nenhum era presente comprar outra coisa comprem
0.0,empresa faz entrega produto fiz pedido produto ficou parado parte emissao nota fiscal empresa entrou nenhum momento contato comigo pra avisar sobre falta produto chegou prazo maximo entrega recebi produto pedir ressarcimento valor pago nota pra empresa
0.0,empresa presta atendimento adequado comprei pligg intuito usar dentra regiao moro antes realizar compra liguei central atendimento empresa tirar duvidas saber atendia regiao apos atendente confirmar regiao havia cobertura efetuei compra mas chego ativar aparelho regiao era atendida pediram aguardar ate final dezembro liberado hoje liguei novamente empresa falaram aguardar liberacao ate momento nada liber numero regiao
0.0,entrega produto atrasada comprei produto dia previsao entrega era dia ainda chegou pior tudo transportadora deu nenhuma satisfacao ultima atualizacao relacao status pedido foi feita dia posso avaliar aparelho ainda mas relacao entrega completamente insatisfeita
0.0,entrega produto foi descrito recebi produto embalagem anterior progressiva let be supreme liss control comprei intuito receber conforme foto escova progressiva let be supreme liss
0.5,escova chegou perfeito estado funcionamento entrega excelente chegou antes prazo escova rotativa mondial boa seca alisa modela promete porem cabelos grossos ondulados pouco trabalho vai atender
0.0,expectativa foi maior produto oferece expectativa maior produto oferece area aplicacao pequena finalidade limpar janelas vidro
0.5,foto produto engana recebi capa apesar pequena avaria interna produtoe qualidade razoavel grande problema tamanho foto parece grande mas verdade pouco palmo comprar mente area cobre bem pequena
0.0,foto mostra lampada linha manda segunda linha senti enganado foto lampada linha mandaram diferente foto linha enganado
0.0,foto outro produto foto produto va confere titulo va
0.0,funcao usb funciona perfeitamente apos instalado usando normalmente seguida parou funcionar usb fiquei radio
0.5,geladeira boa mas entrega foi dentro prazo transportadora cumpriu prazo entrega produto ficava passando filiais transportadora chegava nunca casa
0.5,ideia produto fundamentalmente boa porem material fraco preco caro consideracao durabilidade indico produto aconselho fabricante material resistente tiras laterais arrebentam muita facilidade ideia tao boa produzida material baixa qualidade acho poderia melhor
0.5,imagem produto diferente itens inclusos kit descricao produtos diferente imagem ilustrativa descricao apenas itens foto itens inclusive bolsinha ja usei produtos bons mas sac americanas bem complicado contato via mail telefone demora seculos pra conseguir falar atendente deixando observacao aqui pra comprar enganar foto
0.5,impressora acusa cartucho falsificado impressora acusou cartucho manipulado apesar vir lacrado embalagem bem perfeita original porem impressora acusa cartucho falsificado imprimindo normal mas qualidade cartucho original
0.5,impressora reconhece original produto chegou rapido impressora reconheceu original marca somente metade conteudo vou usar ver dura tipo xl
0.0,informacao sobre armazenamento errada informacao imagem descreve maquina tendo tb ssd corrija errado mas certo nao gb
0.5,loja enviou produto certo gosto produtos deva curl comprei angell gel aparece foto pra cabelos secos loja mando angell laithe gostei pra tipo cabelo loja mandar produto certo foto vou comprar recomendo pra outras pessoas pois pode acontecer aconteceu comigo mandar produtos referentes
0.5,manta bonita manta bonita bem grande mas primeira lavada desmanchou franja
0.5,marca fez direito foi caro chegou ok estalar cano reservatorio maior cabe mangueira cabe manguerinha cima fizeram maior original
1.0,melhor cafeteira momento todas cafeteiras simples contar cafe expresso melhor segunda compro uso parabens
1.0,melhor compra fiz produto potente bonito preco justo facil limpar filtro gostei tanto dei presente sogra comprar ira arrepender
1.0,melhor mascara produto qualidade cabelos mechas bom melhor preco
0.5,mercadoria entregue prazo produto bem parecido foto porem entregue prazo demorei dias tentando entrar contato fornecedor nao dava retorno verdadeiro transtorno prazo entrega dias uteis atraso demorou quase meses enrolacao pode ter pressa chegada produto
0.0,montagem simples precisei montador montar ventilador sendo profissional dificuldades montagem simples era bem silencioso inicio mas primeiras semanas uso comecou fazer barulho incomoda tres velocidades superiores outra agora tempo frio utilizando potencia minima verao vou poder conferir qualidade produto
0.0,maquina flexivel diferentemente consul lavadora permite gente avance etapas forma simples sempre expulsa agua comeca tudo novo compro marca saudade consul
0.5,maquina boa maquina boa atende necessidade mas barulhenta principalmente centrifugacao achei bem silenciosa mas
0.5,panela bom revestimento design bonito mas veio grande defeito panela nova vazar liquido entra pressao
0.0,panela veio tampa amassada providenciar troca panela veio tampa amassada providenciar troca
0.0,pelicula nao adapta corretamente celular pelicula vem furos lugar perfuracao camera fica centro atrapalhando visualizacao fixa completamente colocada capa protecao traseira laterais extremidades desprendem aparelho colam
0.0,propaganda falou produto fotos produto parecia melhor qualidade
1.0,pulseira bonita comprei presentear pessoa gostou pulseira recomendo produto
0.0,qualidade imagem boa porem apresenta manchas iluminacao led tela funcionalidade otima qualidade imagem boa k lastimosamente iluminacao tela led apresenta manchas laterais meio principalmente imagens claras
0.0,qualidade deixa desejar comprei cama urgencia posso usar veio pes americanas decepcionou ortobom entrega pedido venha loja fornecedora
0.5,qualidade grande produto dentro esperado mas apresenta qualidade imagem boa exatamente frente tela
0.5,qualidade boa decepcionei tamanho achei letras maiores
0.0,relacao custo beneficio desse produto pessima qualidade produto deixa desejar faz preco alto produto baixa qualidade produto fragil instrucoes insuficientes
0.5,solucao gosta cafe expresso produto gracioso eficiente bom p gosta cafe expresso filtro vazou borra cafe temperatura normal beber gosta cafe pegando fogo recomendado gostei recomendo
0.5,tinta acabou semana pessima aquisicao comprei pra quebra galho mas nunca imaginei tao ruim impressora fato facil configurar porem tinta acabou semana imprimi folhas
0.5,tv si boa porem deixa desejar relacao entrega americanas sempre parabens reclamar sobre tv boa porem deixa desejar alguns quesitos exemplo permite instalar  5/8  app alem q vem nele pudesse voltar atras escolheria outra marca samsung lg fica dica
0.5,celular bom realmente dei presente mas pouco contato bem atraente visual interface problema perante pelicula pois tela curvada dificuldade achar capinhas menos aqui cidade foi entregue semana consideravel mas transportadora poderia ter forrado caixa pois veio dentro caixa maior assim ficava batendo caso duvida sobre caixa presente oferecida compensa comprar cara algo tao simples
0.0,achocolatado produto pessimo trata whey produto indigesto sabor comprem produto pessima qualidade
1.0,adorei mto tv adorei tdo nessa tv excelente filhos amou mto faceio mexer super recomendo pretendo comprar outra
1.0,adorei produto atendimento dentro esperado produto qualidade marca lupo
1.0,adorei produto bom otima qualidade certeza comprarei novamente
0.5,ainda nao vi produto ainda nao vi produto avaliacao deve feita apos compra
0.0,ainda foi entregue produto era p ter chego mes compra mas momento recebi apesar d reclamacoes resposta pediram p aguardar deram nenhuma previsao
0.0,ainda recebi ainda recebi produto aguardando semanas gestacao todas roupas filho armario porque prazo dado foi cumprido hoje passaram data iremos receber itens totalmente decepcionada
0.0,ainda recebi produto tempo espera longo ainda recebi produto
0.0,ainda recebi produto dias atraso ninguem solucionou problema pessimo atendimento descaso total consumidor dias atraso
0.5,ainda recebi produto ainda recebi entao posso avaliar ainda recebi entao posso avaliar
0.0,ainda recebi produto segundo produto neste mes solicitando avaliacao efetuar entrega creio devem rediscutir metodos transporte
0.5,ainda usei produto estoque reserva xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.5,ainda usando aguardando resultado ainda usando aguardando resultado volto pra dizer funciona
0.5,ainda cedo fazer avaliacao correta produto preciso alguns dias uso devera dar resultados positivos
0.0,ajustes diametro perna igual diametro onde encaixa base dificultando encaixe fica ruim encaixar perna base diametro perna milimetros menor
1.0,amei produto rapido bonito compacto muita qualidade marca confianca
1.0,amei produto chegou antes prazo celular maravilhoso tela grande boa memoria bateria excelente chegou bem antes prazo primeira vez compro lojas americanas fiquei encantada atendimento
1.0,ameiiiii excelente produto recomendo toda cereteza mundo
0.0,americanas envia produto diferente produto parece igual mas vem caixa original flashlimp
0.0,americanas nega atendimento apos compra nunca compro aqui americanas desrespeita direitos consumidor recebi produto aberto usado
0.0,americanas entregou produto poder avaliar recomendaria produto entregassem mes atras fiz compra agora status rastreio notebook chegou unidade correios decepcionada americanas descaso atendimento cliente
1.0,amo pipoca atendeu expectativas rapida pipoca natural amei ahhh chegou bem antes data prevista super recomendo
1.0,apaixonei lindo entrega super rapida americanas parabens super recomendo
0.0,aparelho bloquado outras operadoras tempos hoje vir aparelho bloqueado ninguem merece
1.0,aparelho celular j recomendo todos qualidade aparelho rapidez entrega
1.0,aparelho excelente aparelho facili utilizacao muitos recursos
0.5,aparelho bom aparelho excelente porem fragil chegou dias uteis rapido previsao site era dias maas meses uso normal caiu altura cm quebrou tela centro danificando tudo resultado preco celular novo arrumar
0.0,aparelho porcaria nao comprem marca comprei saida hdmi estragado mes ressarcimento nova existem marcas melhores comprem preco porcaria marca
0.0,aparelho veio gas suficiente aparelho veio metade carga gas somente funciona precisei tecnico instalador adicionasse carga gas custo reais kg
0.0,apresenta defeito sempre bom matar saudades mas dvd extras filme el bandido apresenta apenas minutos filme cortado repentinamente pulando outro filme extras fabricante devia reparar defeito proximos dvds
1.0,aprovado atendimento prazo entrega bom quanto ao produto qualidade panasonic
1.0,atende necessidade gostei celular facil manoseio tamanho ideal leve bonito gostei
1.0,atende refere produto bom atende refere ainda cima bonito visualmente recomendo
1.0,atende necessidades celulares samsung recomendo produto
0.5,atende basico apesar aparelho primeira linha alguns quesitos tipo camera poderia ter melhor resolucao
1.0,atende todas expectativa supera agilidade praticidade outras panelas eletricas costumo usar outra panela cozimento arroz japonesa mas leva tempo minutos nessa panela rapido exatamente minutos recomendo
1.0,atendeu necessidade volta meia crise fascite plantar desde adquiri produto umas semanas problema aprovado
1.0,atendeu expectativas produto top imagem frontal excelente acordo mb equipamento preco acessivel entrega tudo ok super rapida
0.5,atencao produto bonito fino otima bateria porem maioria tempo lento funcoes simples abrir notas alto adesivas carregar navegador qualquer carregar nova aba abrir word feito muita dificuldade causando aborrecimentos atrasando eventuais trabalhos
0.0,atraso mercadoria infelizmente consigo avaliar produto pois realizei compra dia agora foi entregue produto entrei contato sac americana pediram mim aguardar quarta feira dar posicao sobre entrega era realizada dia
0.0,atraso insatisfacao frustrada situacao fiz pedido dia pois tratava presente natal filho empresa primeiro alterou data limite entrega hoje dia ainda recebi presente filho chora cobra todo dia dizendo papai noel levou presente gosta ai lojas americanas falo filho vcs fizeram questao tentar conseguir solucionar problema cliente produto adulto incomodaria atraso mas crianca infelizmente explicar pra preciso posicao referente pedido segue anexo print situacao entrega produto
0.5,atraso entrega dias produto ok cumpriu prazo dias atraso
1.0,agora tranquilo agora tranquilo reclamar aparelho bom satisfeito
0.0,avalie pressao agua antes adquirir produto pressao d agua aqui casa pouca ficou imaginei
0.5,avaria produto si otimo escolhi marca atoa pesquisei etc tecla letra r veio completamente solta pude pensar devolver pois estudo on line usando usando notebook trabalhar medo colar piorar negocio sigo usando assim chateia pagamos barato pode dizer valor mercado suma brinde cortesia vir algo danificado
0.0,avaria ola decepcionada mercadoria recebi cuba amassada valvula quebrada acredito culpa correios mas preciso menos valvula mandem novamente pois usar cuba aguardo josiani
0.0,avarias recipiente produto veio avarias veio todo vazado gostaria posicao americas
0.5,abateria olha falta bateria pois colocar vezes dia tudo bem
0.5,abertura porta interesse comprar produto mas gostaria saber primeiro seguinte informacao lado porta desse refrigerador abre
0.0,abismada nunca imaginei q viveria ver copo plastico preco
0.0,absurdo compra mesa w custa reais frete ridiculo conta q agromerado aff
0.0,absurdo engracado comprei kit ja esperando entrega porem foi cancelado segundo lojas americanas vao mas fz entregas deste produto mas estranho ne ainda continuam vender foi devido preco kit agora aumentaram preco unica informacao vai devolver dinheiro mas ai vendendo
0.5,absurdo frete frete absurdo interesse comprar mas valor frete jamais
0.5,acabamento deixou desejar panela otima acabamento deixou super xatiada tampas ancaixam panelas furos tampas meio certinho acabamento panela pessimo material panela bom pena acabamento tao ruim
0.0,acabamento acabamento bem fraco principalmente ziper tomar cuidado forcar pois rasga facilidade tecido
0.0,acabamento ruim acabamento cortina deixa desejar fios soltos
0.5,acabamento fragil proposta secadora roupa pe boa mas produto acabamento pessimo resistente veio pe encaixam defeito fabricacao acabamento saida ar descolou tb defeito fabricacao vejo futuro vou ter trocar fecho outra coisa pratica ajeitar roupas hora secar mas funciona bem
0.5,acabamento meia boca acabamento deixa desejar acabamento fino liso homogeneo foto parece torneira barata pintura cromo enrugada parece qualquer momento vai descascar recomendo somente marca
0.0,acabamento ruim acabamento ruim passa mangas fica bem fixado ia dizer preco compensa mas final acaba compensando
0.0,acabei comprar serios problemas som video usei pouco problemas serios video trava toda hora som fica baixo repente vamos ver conseguirao consertar
0.5,acento espuma fina comprei cadeira marido trabalha minimo hrs dia sentado aproximadamente kg apos semanas uso continuo cadeira comecou notar espuma afundou agora sensacao sentado sobre tabua detalhe cadeira diz suportar kg resto cadeira boa aparenta bem resistente mas peso acima kg utiliza muitas horas continuas melhor escolher outra vou tentar entrar contato suporte verificar existe alguma solucao
1.0,acertei compra otima iluminacao facil instalacao chegou antes prazo
0.5,acessorios diferentes anunciado produto chegou prazo mas anuncio diz album tripe mas veio album veio mini tripe bem diferente acho deveriam mudar anuncio geraria acao
1.0,achei otimo produto preco promocoes produtos qualidade deveria ter outros itens ofertas relampagos
0.0,achei parte cerdas pequenas achei parte cerdas pequenas outro outra marca melhor
1.0,achei bom achei bom ainda pouco tempo uso ter opiniao concreta
1.0,achei bom eficiente recomendo bom smartephone tela grande atendeu espequitativa
0.5,achei bom agua gelada bem gelada mas produto bom produto bom recomendo precisam melhorar parte agua gelada ta tudo certo produto bonito preco bom
0.5,achei bom bom preco esperava nada alem achei pontos negativos machuca hora fazer barba
0.0,achei estranho achei fixacao estranha sai rapido cheiro tbm
0.0,achei mal acabado achei mto mal acabado nao cabe escada dentro conforme mostra foto
0.0,achei mediano vi grande ultilidade ainda quer uar basico da falta ainda compensar custo aparelho
0.0,achei menor parecia cuba veio quebrada enrolada somente papelao era visto
1.0,achei bom produto bom mas entrega melhor ainda lojas americanas surpreende antecipacao satisfeita
1.0,achei bom produto precisava celular bateria maior duracao feliz celular
0.5,achei bom instalacao rapida facil ventila bem quarto m3 silencioso luz tbm funciona interruptor incluso controle funciona bateria incluso unico ponto complicado poderia pilha convencional controle possui qualidade boa material fraco
1.0,achei bonito produto designer bom facil montagem venho nada estragado tudo certo mulher gostou
0.0,achei estranho produto foi entregue nota fiscal utrapassou prazo entrega comprei site lojas americanas mas decorrer status compra entrega fiquei sabendo compra foi realizada tal ilimit nunca ouvi falar sobre fornecedor gostaria saber vou receber notal fiscal dados garantia assistencia tecnica coisas direito consumidor
1.0,achei balcao lindo preco beneficios bom recomendo excelente produto entrega rapida
0.0,achei conteudo pouco fraco precisava livro explicasse vazios aparelhos humanos descricao funcoes comprei aleatoriamente mas achei conteudo simplista questao informacao
0.0,achei produto regular observei dimensao produto sei informacoes descricao fato achei pequeno
1.0,achei produto otima qualidade produto veio perfeito estado funcionando direitinho entrega produto foi feita data estipulada
0.5,achei produto razoavel tempo cozimento poderia menor demorou tempo esperado cozinhar alguns produtos
0.5,achei vento relativamente fraco produto bom porem achei vento relativamente fraco
0.5,achei pequena bom somente poucas pessoas frigideira pequena comprei entrega casa buscar correios falta informacao
0.0,achei q melhor fica borra cafe fundo xicara agua poderia pouco quente
0.5,achei era melhor achei produto inferior pois bonecas qualidade bem melhor porem kit deixou desejar massinhas tao pequenas quase comprar umas cada pra fazer alguma coisa masssss ok
0.0,achei era melhor gostei produto vem pouca quantidade procuro coisa cresca cabelo brilho foi produto claro gostei vem pouca quantidade
0.0,achei bom comprei fone ouvido comeco achei sensacional meses quebrou haste plastico comprem
0.0,achei original alem atrasar prazo entrega era esperava carregador veio junto celular ai resolvi comprar outro pra usar trabalho mas mesma coisa
0.0,achei razoavel produto trava fica tela cinza sendo necessario desligar ligar novo voltar funcionar pode defeito aparelho mas causa transtorno
1.0,achei top facil instalar vinil excelente qualidade vem duas pecas vinil pra colar carro faixa letras logo pra colar vinil pode instalado casa qualquer entusiasta simples vale pena recomendo
1.0,achei amor compartimento armazenar material ficar bagunca valeuuuu possui compartimento armazenar material ficar bagunca
0.5,achei otimo produto bom design cor sistema achei tudo bom porem sistema ocupa espaco memoria achei tanto pesado vezes doi pulso segura lo mao
0.0,achei fraquinho acho poderia bem melhor preco paguei deveria melhor
0.0,acho q veio errado nao veio caixa nao funciona luz musica anda conforme enunciado totalmente diferente desse q ta caixa foi primeira vez q aconteceu isdo comprar vim errado fico triste
0.0,acho dei sorte produto primeiras horas uso apresentou defeito travou tela aceitava nenhum comando tinha tirar tomada pra poder desligar
0.0,acho veio defeito acho cafeteira veio defeito agua caindo lentamente
0.0,acho vou gostar ferramentas prometo avaliar produto receber lo faz dias entrega ta atrasada
